,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
29,2018-12-09,AA,AA_CODESHARE,AA,4902,PT,N690AE,4902,13342,MKE,"Milwaukee, WI",14100,PHL,"Philadelphia, PA",1413,1408.0,-5.0,11.0,1419.0,1704.0,9.0,1720,1713.0,-7.0,0.0,,0.0,N,127.0,125.0,105.0,1.0,690.0,,,,,,,,,
30,2018-12-09,AA,AA_CODESHARE,AA,4902,PT,N690AE,4902,14100,PHL,"Philadelphia, PA",13342,MKE,"Milwaukee, WI",1225,1225.0,0.0,21.0,1246.0,1337.0,6.0,1345,1343.0,-2.0,0.0,,0.0,N,140.0,138.0,111.0,1.0,690.0,,,,,,,,,
31,2018-12-09,AA,AA_CODESHARE,AA,4903,PT,,4903,10208,AGS,"Augusta, GA",11057,CLT,"Charlotte, NC",1759,,,,,,,1905,,,1.0,B,0.0,N,66.0,,,1.0,140.0,,,,,,,,,
32,2018-12-09,AA,AA_CODESHARE,AA,4903,PT,,4903,11057,CLT,"Charlotte, NC",10208,AGS,"Augusta, GA",1626,,,,,,,1734,,,1.0,B,0.0,N,68.0,,,1.0,140.0,,,,,,,,,
33,2018-12-09,AA,AA_CODESHARE,AA,4904,PT,N625AE,4904,14100,PHL,"Philadelphia, PA",15096,SYR,"Syracuse, NY",1410,1518.0,68.0,21.0,1539.0,1616.0,10.0,1520,1626.0,66.0,0.0,,0.0,N,70.0,68.0,37.0,1.0,228.0,66.0,0.0,0.0,0.0,0.0,,,,
34,2018-12-09,AA,AA_CODESHARE,AA,4904,PT,N625AE,4904,15096,SYR,"Syracuse, NY",14100,PHL,"Philadelphia, PA",1554,1653.0,59.0,10.0,1703.0,1745.0,10.0,1720,1755.0,35.0,0.0,,0.0,N,86.0,62.0,42.0,1.0,228.0,1.0,0.0,0.0,0.0,34.0,,,,
35,2018-12-09,AA,AA_CODESHARE,AA,4907,PT,,4907,11057,CLT,"Charlotte, NC",12223,HTS,"Ashland, WV",2020,,,,,,,2135,,,1.0,B,0.0,N,75.0,,,1.0,235.0,,,,,,,,,
36,2018-12-09,AA,AA_CODESHARE,AA,4908,PT,N652RS,4908,12223,HTS,"Ashland, WV",11057,CLT,"Charlotte, NC",725,,,,,,,851,,,1.0,B,0.0,N,86.0,,,1.0,235.0,,,,,,,,,
37,2018-12-09,AA,AA_CODESHARE,AA,4909,PT,N601DW,4909,11823,FWA,"Fort Wayne, IN",14100,PHL,"Philadelphia, PA",545,539.0,-6.0,57.0,636.0,745.0,11.0,737,756.0,19.0,0.0,,0.0,N,112.0,137.0,69.0,1.0,530.0,0.0,0.0,19.0,0.0,0.0,,,,
38,2018-12-09,AA,AA_CODESHARE,AA,4910,PT,,4910,11057,CLT,"Charlotte, NC",14092,PGV,"Greenville, NC",1800,,,,,,,1907,,,1.0,B,0.0,N,67.0,,,1.0,203.0,,,,,,,,,
